Longitude,Latitude
-12454108.617150001,4964425.9371500015
-12453143.360216051,4964421.859361355
-12453959.442699999,4964425.181650002
-12455502.9902,4966285.079549998
-12458149.300508525,4966287.257277603
-12454152.6156,4966293.950150002
-12454813.355488984,4966293.168396143
-12453774.98205,4964425.769500002
-12453462.065450838,4967234.56583747
-12453456.287731625,4969034.311924523
-12453864.7553,4966293.059999999
-12454313.275899999,4966294.321700003
-12454574.57787145,4966293.018564557
-12454416.43113199,4964425.367213183
-12452799.958549999,4963847.729800001
-12455821.5809,4966282.9606
-12450368.712961294,4968871.35412428
-12447200.97251568,4967463.831606609
-12451536.5004,4966985.332850002
-12455190.880681584,4966292.863700058
-12452181.482685668,4964419.69151807
-12447187.235416025,4969007.292209973
-12444576.16795037,4965796.5645370195
-12446594.85510076,4966569.450697261
-12454963.3391,4966293.658099998
-12452807.077904398,4967234.192958052
-12453165.21335,4966292.6895
-12446130.363810869,4966288.118862545
-12449312.966132954,4968960.923645941
-12449308.351378074,4966637.664470834
-12450849.569015617,4964416.01833419
-12445076.687150002,4966429.177200001
-12445072.820174683,4965967.886555229
-12455344.639856681,4965666.924239992
-12453552.077550001,4966293.735799998
-12443746.607406005,4964832.845998076
-12453466.896602403,4965365.802480359
-12450910.902710743,4965357.121599456
-12447734.134821534,4967712.486215213
-12452815.17845,4965889.627500001
-12449313.95496197,4967941.173162632
-12451745.57545,4968179.055549998
-12450846.653610397,4967058.326092576
-12451540.615,4966634.6785
-12451532.185150001,4968118.177550003
-12451532.679200001,4968033.120300002
-12445096.374836987,4965037.655586274
-12451054.52025,4966297.138900001
-12451535.701861983,4967377.374924092
-12448242.89505,4967421.70245
-12452174.030990208,4967234.595267545
-12450234.148969786,4964735.873690104
-12452809.257695274,4968586.9887787355
-12445353.323246509,4964366.670458266
-12452179.2845,4966050.621649999
-12452570.0065,4968176.645550001
-12445514.989826772,4963415.276271291
-12451653.146801863,4968633.841522841
-12452814.79775,4965750.113699999
-12450015.782413414,4967039.148487062
-12452189.236862943,4964859.091743536
-12444009.667264659,4966587.837504001
-12449524.650799999,4968176.779799998
-12447741.372735627,4969852.482901496
-12444753.912835883,4964550.76960652
-12454091.382736424,4965359.5583464345
-12451569.413566379,4963308.334525783
-12452814.933,4964750.07485
-12451079.420029184,4967852.460429652
-12445274.156783566,4966631.503514572
-12448245.832704853,4966593.145867598
-12449238.041413005,4967325.290803922
-12451541.639449999,4965808.3741
-12451209.204978077,4963301.082700821
-12448244.8558,4966771.619799998
-12451542.150150001,4965439.283050001
-12451537.49595,4966911.257849999
-12448241.099027008,4969011.300934454
-12444622.98681016,4965016.959865133
-12445155.71235,4968170.110849999
-12448038.758650001,4968172.405200001
-12451272.873399999,4966296.53785
-12444990.644127183,4967660.581188076
-12450648.440714706,4966627.564978851
-12452814.4261,4965799.51035
-12455673.56937872,4965752.65210816
-12452331.57915,4968176.8110500015
-12451350.291936688,4968178.711687761
-12450309.19875,4968185.523950003
-12451991.2739,4966292.099149998
-12450901.50135,4966296.837650001
-12453523.485010339,4964427.004543542
-12450974.15745,4966296.992650002
-12446603.94215,4968169.782700002
-12450975.025600001,4967468.5951000005
-12448967.2942,4968170.9103999995
-12444926.024771355,4968625.1574480925
-12451534.65315,4967665.453499999
-12450716.023830254,4966299.260445673
-12445042.163850665,4967368.7420368735
-12448242.712094314,4967591.665425141
-12452702.5523,4966293.632100001
-12448247.545017999,4967938.532668135
-12447188.465981483,4966438.29115079
-12451542.3753,4965306.051150002
-12451293.526555108,4968634.91046303
-12453333.19445,4966293.9959499985
-12445066.745391635,4967180.05198971
-12452279.26575,4966292.976099998
-12451542.50935,4965496.803649999
-12451539.9771,4966092.520750001
-12452815.1882,4965319.932599999
-12451011.1558,4967601.63555
-12445992.156,4968169.802000001
-12452805.92785,4963905.780650001
-12448245.85815,4966385.493899997
-12452191.6558,4964637.011500001
-12452179.2511,4965601.124250002
-12449414.08845,4968175.58605
-12450526.997003252,4968184.490481346
-12447642.4051,4968172.022400003
-12451540.00685,4966694.3314999975
-12449703.0749,4968178.248499997
-12452177.907,4965044.153300002
-12445421.2342,4968171.723749999
-12447306.3368,4968171.922150001
-12449923.717756942,4966298.686797871
-12451544.676146004,4964577.788178658
-12453648.08485,4964426.770950001
-12453235.063099999,4968173.831799999
-12448777.793085717,4966296.280768696
-12452815.836550001,4964546.765349999
-12452816.58685,4964260.6894499995
-12446464.20415,4968169.685400002
-12451411.261500001,4966296.0493
-12452192.94245,4964450.74385
-12452813.673799999,4965460.979849998
-12451028.727,4967668.128200002
-12452178.7203,4966202.249899998
-12452178.34225,4965433.519299999
-12452177.76165,4965198.208999999
-12451535.2853,4967574.248199999
-12447715.494325958,4966297.050369197
-12451540.910300002,4966243.340950001
-12445694.37975,4968171.277000003
-12452814.731600001,4964064.819800001
-12452396.5243,4966294.005099997
-12452726.673,4968176.421549998
-12451078.3383,4968181.325350001
-12451533.91415,4967806.85695
-12452815.22095,4964839.856150001
-12450561.840847049,4966394.287586728
-12451540.12305,4965910.2831999995
-12445067.54695,4967000.4086000025
-12451145.5726,4968096.016850002
-12446049.966168089,4963345.829658218
-12450915.88185,4968182.372749999
-12445071.617,4966743.328400001
-12452178.57215,4965835.59705
-12449611.95055,4968177.334149998
-12452179.445099998,4965931.928950001
-12449772.25855,4968178.974849999
-12451420.67915,4969102.446350001
-12449232.23625,4968173.880400002
-12446919.99075,4968170.8182500005
-12447439.095449999,4968172.469800003
-12452178.5343,4965730.331700001
-12452192.38292648,4964529.689173158
-12445747.344573524,4966648.527072068
-12451603.7922,4968178.6554000005
-12448664.659599999,4968174.109099999
-12451673.204323243,4966294.215100477
-12452456.271,4966294.276299998
-12450703.6163,4968183.2381
-12445859.996199999,4968169.891250003
-12452928.19855,4968175.486049999
-12451533.3107,4967941.84595
-12445586.610650001,4968172.925300002
-12451542.4742,4965704.092
-12451539.50465,4965968.874049999
-12448243.26325,4967306.03345
-12446321.8317,4968169.677099999
-12452545.59365,4966294.586300001
-12446163.64805,4968169.7454499975
-12450780.1053,4968183.1591
-12452814.48675,4966235.394850001
-12453088.02445,4968174.961100001
-12452813.56795,4965638.183199998
-12449078.51845,4968172.4329
-12451542.18805,4965388.767450001
-12453402.006749999,4968173.561449997
-12452814.996,4965058.637200002
-12452815.2909,4965202.836100001
-12457129.37234203,4966264.945804723
-12452815.196812626,4964910.99707336
-12451543.450155562,4964987.099473502
-12448860.250865513,4968172.591671363
-12451538.05062515,4966805.115823958
-12451542.6705,4965622.992699999
-12451542.54,4965548.2777999975
-12452829.699522216,4963180.032323374
-12450774.16710313,4966899.365156889
-12456163.677249206,4966277.317022189
-12452971.480918383,4966294.369150551
-12456624.423722401,4965847.1904205335
-12456973.147863947,4966242.331664713
-12451534.055275954,4967120.394912652
-12457264.170360694,4966059.900696839
-12452811.0414,4963984.00375
-12444932.345324315,4968012.8489491055
-12445294.874649052,4965292.31247133
-12445547.591323977,4964712.22173605
-12450916.770691695,4967252.720761995
-12452816.090950001,4966118.933899999
-12452815.759574743,4966001.884389561
-12456758.664818611,4966168.388935889
-12456590.245244808,4966230.099782445
-12456895.182838367,4966235.751966993
-12448391.04535,4968173.718199998
-12450041.8178,4968182.471950002
-12452754.717970086,4963349.189999743
-12452784.633836195,4963681.608152994
-12448245.98545,4966895.30325
-12448245.32075,4967099.0567499995
-12445139.602062026,4965569.468348364
-12445113.3609,4965637.065299999
-12454292.7524,4964425.743499998
-12454186.724750001,4964426.013700001
-12451541.584849998,4966402.148249999
-12451541.002549998,4966552.921700001
-12450727.61115,4966795.736099999
-12450717.75525,4966770.90095
-12445798.265669055,4964439.328388447
-12451992.569741424,4968179.329657958
-12445024.15085,4968170.0714500025
-12444962.749097744,4968170.164936301
-12451182.02145,4966296.118299998
-12451084.60765,4966296.932799999
-12448781.433175344,4967711.551245646
-12446128.497858288,4969315.662932326
